Default Report,,,,,1,2,3,4,5
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q26 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 Two dogs are running down a road and carrying a canoe.,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The dogs running down a road,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,10.00%,1,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,40.00%,4,,,,,,
5,Very Likely,50.00%,5,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q84 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 Three dogs are playing in a band. ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dogs are playing.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,9.09%,1,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,9.09%,1,,,,,,
4,Likely,63.64%,7,,,,,,
5,Very Likely,18.18%,2,,,,,,
,Total,100%,11,,,,,,
,,,,,,,,,
Q85 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 A man playing an electric guitar on stage.,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man playing banjo on the floor.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,50.00%,3,,,,,,
2,Unlikely,33.33%,2,,,,,,
3,Neither likely nor unlikely,16.67%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,6,,,,,,
,,,,,,,,,
Q32 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A boy on a skateboard in midair. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The boy is riding his board.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,11.11%,1,,,,,,
3,Neither likely nor unlikely,33.33%,3,,,,,,
4,Likely,44.44%,4,,,,,,
5,Very Likely,11.11%,1,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q33 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two girls feeding a boy an apple. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The girls are girls near an apple.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,10.00%,1,,,,,,
2,Unlikely,40.00%,4,,,,,,
3,Neither likely nor unlikely,10.00%,1,,,,,,
4,Likely,30.00%,3,,,,,,
5,Very Likely,10.00%,1,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q34 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A boy is playing with his skateboard on a street. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A boy playing boy.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,87.50%,7,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,12.50%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q35 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A skateboarding boy does a trick on a rail. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 Boy skateboarding on a rail.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,20.00%,2,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,40.00%,4,,,,,,
5,Very Likely,40.00%,4,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q86 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A boy using a cellphone on a boat.  Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 Boy is on a phone.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,11.11%,1,,,,,,
4,Likely,66.67%,6,,,,,,
5,Very Likely,22.22%,2,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q87 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man reads the paper in a bar with green lighting. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The man is climbing a mountain.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,100.00%,8,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q48 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of boys playing street soccer. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A group of boys are playing soccer in the street.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,25.00%,2,,,,,,
5,Very Likely,75.00%,6,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q49 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group sitting in an office. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The people are sitting.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,10.00%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,50.00%,5,,,,,,
5,Very Likely,40.00%,4,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q50 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group walking down the street. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A group are walking down the street.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,10.00%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,40.00%,4,,,,,,
5,Very Likely,50.00%,5,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q51 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group runs on the beach. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A group is outdoors.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,44.44%,4,,,,,,
5,Very Likely,55.56%,5,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q88 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The white group runs across the snow.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 Group running on the snow.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,12.50%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,75.00%,6,,,,,,
5,Very Likely,12.50%,1,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q89 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman within an orchestra is playing a violin.. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A man is looking in a telescope.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,77.78%,7,,,,,,
2,Unlikely,22.22%,2,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q52 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men are laying floor tiles in a doorway. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Two men are doing hard labor.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,25.00%,2,,,,,,
4,Likely,62.50%,5,,,,,,
5,Very Likely,12.50%,1,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q32 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Men are riding their bikes down a road. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The men are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,10.00%,1,,,,,,
2,Unlikely,10.00%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,20.00%,2,,,,,,
5,Very Likely,60.00%,6,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q33 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men in coats kiss on the side of a road. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The men are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,22.22%,2,,,,,,
3,Neither likely nor unlikely,11.11%,1,,,,,,
4,Likely,66.67%,6,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q34 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Men in an office with men and a projector screen. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The men are men.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,20.00%,2,,,,,,
2,Unlikely,10.00%,1,,,,,,
3,Neither likely nor unlikely,10.00%,1,,,,,,
4,Likely,40.00%,4,,,,,,
5,Very Likely,20.00%,2,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q90 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The racing men have broken from the starting gate. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The men are men.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,11.11%,1,,,,,,
2,Unlikely,44.44%,4,,,,,,
3,Neither likely nor unlikely,11.11%,1,,,,,,
4,Likely,22.22%,2,,,,,,
5,Very Likely,11.11%,1,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q91 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
An older women tending to a garden. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The lady is cooking dinner.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,50.00%,4,,,,,,
2,Unlikely,37.50%,3,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,12.50%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q35 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man takes a picture of another two men in a crowd. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man takes a picture of two men in a crowd.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,100.00%,6,,,,,,
,Total,100%,6,,,,,,
,,,,,,,,,
Q36 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The man is speaking while the others are listening. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man speaking to a people.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,12.50%,1,,,,,,
4,Likely,62.50%,5,,,,,,
5,Very Likely,25.00%,2,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q37 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man wearing a scarf is brushing a horse. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man is is.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,60.00%,6,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,20.00%,2,,,,,,
4,Likely,10.00%,1,,,,,,
5,Very Likely,10.00%,1,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q38 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A young man in a straw hat drinks out of a plastic pink cup. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man is wearing hat.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,11.11%,1,,,,,,
4,Likely,66.67%,6,,,,,,
5,Very Likely,22.22%,2,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q92 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The man has a hose ready to tackle a car fire. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man is next.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,40.00%,4,,,,,,
2,Unlikely,30.00%,3,,,,,,
3,Neither likely nor unlikely,20.00%,2,,,,,,
4,Likely,10.00%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q93 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man in a black shirt is looking at a bike in a workshop. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man is wearing a red shirt.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,81.82%,9,,,,,,
2,Unlikely,9.09%,1,,,,,,
3,Neither likely nor unlikely,9.09%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,11,,,,,,
,,,,,,,,,
Q83 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
An older woman is holding a small child. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman holding a child,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,37.50%,3,,,,,,
5,Very Likely,62.50%,5,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q40 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman is working on a roof at a house being built. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman is is .,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,40.00%,4,,,,,,
2,Unlikely,40.00%,4,,,,,,
3,Neither likely nor unlikely,20.00%,2,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q41 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
An elderly woman walking down the street. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Woman is walking.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,22.22%,2,,,,,,
4,Likely,44.44%,4,,,,,,
5,Very Likely,33.33%,3,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q42 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman is surrounded by a field of sunflowers. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman is is sunflowers.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,33.33%,3,,,,,,
2,Unlikely,22.22%,2,,,,,,
3,Neither likely nor unlikely,11.11%,1,,,,,,
4,Likely,11.11%,1,,,,,,
5,Very Likely,22.22%,2,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q94 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman is repairing roof shingles. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman is repairing roof.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,44.44%,4,,,,,,
5,Very Likely,55.56%,5,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q95 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Three boys in white shirts are walking behind an older model Ford car. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
There are three girls.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,77.78%,7,,,,,,
2,Unlikely,11.11%,1,,,,,,
3,Neither likely nor unlikely,11.11%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,9,,,,,,
,,,,,,,,,
Q43 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of kids is splashing in deep water nearby a rock formation. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The kids are in deep water.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,12.50%,1,,,,,,
3,Neither likely nor unlikely,12.50%,1,,,,,,
4,Likely,25.00%,2,,,,,,
5,Very Likely,50.00%,4,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q44 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of kids are walking through the campus. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A kids are walking.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,9.09%,1,,,,,,
2,Unlikely,18.18%,2,,,,,,
3,Neither likely nor unlikely,18.18%,2,,,,,,
4,Likely,45.45%,5,,,,,,
5,Very Likely,9.09%,1,,,,,,
,Total,100%,11,,,,,,
,,,,,,,,,
Q45 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Three kids on skis are standing behind a no skiing sign. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The kids are are.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,37.50%,3,,,,,,
2,Unlikely,50.00%,4,,,,,,
3,Neither likely nor unlikely,12.50%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q46 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two kids run across the woods. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Kids are are.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,62.50%,5,,,,,,
2,Unlikely,12.50%,1,,,,,,
3,Neither likely nor unlikely,12.50%,1,,,,,,
4,Likely,12.50%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q96 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two kids wearing hats are running through snow drifts outside. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The kids are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,20.00%,2,,,,,,
4,Likely,30.00%,3,,,,,,
5,Very Likely,50.00%,5,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q97 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
People are conversing at a dining table under a canopy.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
People are screaming at a boxing match.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,88.89%,8,,,,,,
