Default Report,,,,,1,2,3,4,5
 A group of people are watching an empty stage.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,65.00%,13,,,,,,
2,Unlikely,20.00%,4,,,,,,
3,Neither likely nor unlikely,10.00%,2,,,,,,
4,Likely,5.00%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q33 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of young people performing on a stage. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A group of people are singing and dancing on stage for people.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,5.00%,1,,,,,,
4,Likely,45.00%,9,,,,,,
5,Very Likely,50.00%,10,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q34 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of young people performing on a stage. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A group of people are on stage.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,4.76%,1,,,,,,
4,Likely,23.81%,5,,,,,,
5,Very Likely,71.43%,15,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q35 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of young people performing on a stage. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A people performing together.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.88%,1,,,,,,
3,Neither likely nor unlikely,5.88%,1,,,,,,
4,Likely,23.53%,4,,,,,,
5,Very Likely,64.71%,11,,,,,,
,Total,100%,17,,,,,,
,,,,,,,,,
Q36 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A dog hides in the tall grasses along a rocky shore Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The dog is at home with his owner.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,65.00%,13,,,,,,
2,Unlikely,20.00%,4,,,,,,
3,Neither likely nor unlikely,10.00%,2,,,,,,
4,Likely,5.00%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q37 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A dog hides in the tall grasses along a rocky shore Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The dog loves to be here.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,11.76%,2,,,,,,
3,Neither likely nor unlikely,29.41%,5,,,,,,
4,Likely,41.18%,7,,,,,,
5,Very Likely,17.65%,3,,,,,,
,Total,100%,17,,,,,,
,,,,,,,,,
Q38 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A dog hides in the tall grasses along a rocky shore Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The dog is outdoors.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,4.76%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,28.57%,6,,,,,,
5,Very Likely,66.67%,14,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q39 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A dog hides in the tall grasses along a rocky shore Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A dog is in the shore.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,5.00%,1,,,,,,
2,Unlikely,10.00%,2,,,,,,
3,Neither likely nor unlikely,20.00%,4,,,,,,
4,Likely,55.00%,11,,,,,,
5,Very Likely,10.00%,2,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q40 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A child rides a bicycle in a sunny neighborhood. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The child is at home watching movies.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,100.00%,17,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,17,,,,,,
,,,,,,,,,
Q41 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A child rides a bicycle in a sunny neighborhood. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The child is riding his bike to the park.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.26%,1,,,,,,
3,Neither likely nor unlikely,15.79%,3,,,,,,
4,Likely,68.42%,13,,,,,,
5,Very Likely,10.53%,2,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q42 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A child rides a bicycle in a sunny neighborhood. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A child is riding his bike.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,4.76%,1,,,,,,
4,Likely,28.57%,6,,,,,,
5,Very Likely,66.67%,14,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q43 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A child rides a bicycle in a sunny neighborhood. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A child is a bike.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,80.95%,17,,,,,,
2,Unlikely,19.05%,4,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q44 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man and woman sitting on the sidewalk. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The man and woman are standing.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,90.00%,18,,,,,,
2,Unlikely,10.00%,2,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q45 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man and woman sitting on the sidewalk. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The man and woman are married.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,5.00%,1,,,,,,
2,Unlikely,10.00%,2,,,,,,
3,Neither likely nor unlikely,50.00%,10,,,,,,
4,Likely,25.00%,5,,,,,,
5,Very Likely,10.00%,2,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q46 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man and woman sitting on the sidewalk. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The man and woman are sitting.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,10.00%,2,,,,,,
4,Likely,40.00%,8,,,,,,
5,Very Likely,50.00%,10,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q47 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man and woman sitting on the sidewalk. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A man are sitting outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,5.56%,1,,,,,,
2,Unlikely,11.11%,2,,,,,,
3,Neither likely nor unlikely,16.67%,3,,,,,,
4,Likely,38.89%,7,,,,,,
5,Very Likely,27.78%,5,,,,,,
,Total,100%,18,,,,,,
,,,,,,,,,
Q48 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The three young children played with some toilet paper in the grass. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The three young children are playing inside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,63.16%,12,,,,,,
2,Unlikely,15.79%,3,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,10.53%,2,,,,,,
5,Very Likely,10.53%,2,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q49 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The three young children played with some toilet paper in the grass. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The three young children are throwing the toilet paper around.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,9.52%,2,,,,,,
4,Likely,42.86%,9,,,,,,
5,Very Likely,47.62%,10,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q50 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The three young children played with some toilet paper in the grass. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The three young children are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,18.18%,4,,,,,,
3,Neither likely nor unlikely,4.55%,1,,,,,,
4,Likely,31.82%,7,,,,,,
5,Very Likely,45.45%,10,,,,,,
,Total,100%,22,,,,,,
,,,,,,,,,
Q51 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
The three young children played with some toilet paper in the grass. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 The kids are are in the grass.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,12.50%,2,,,,,,
4,Likely,37.50%,6,,,,,,
5,Very Likely,50.00%,8,,,,,,
,Total,100%,16,,,,,,
,,,,,,,,,
Q52 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A person obscured in shadow in a gymnasium. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The person is a vampire avoiding the sun.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,64.71%,11,,,,,,
2,Unlikely,11.76%,2,,,,,,
3,Neither likely nor unlikely,23.53%,4,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,17,,,,,,
,,,,,,,,,
Q32 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A person obscured in shadow in a gymnasium. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The person is trying to be sneaky.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,23.81%,5,,,,,,
3,Neither likely nor unlikely,19.05%,4,,,,,,
4,Likely,38.10%,8,,,,,,
5,Very Likely,19.05%,4,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q33 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A person obscured in shadow in a gymnasium. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The person is hard to see.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,15.79%,3,,,,,,
4,Likely,42.11%,8,,,,,,
5,Very Likely,42.11%,8,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q34 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A person obscured in shadow in a gymnasium. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A person is indoors.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,4.76%,1,,,,,,
3,Neither likely nor unlikely,9.52%,2,,,,,,
4,Likely,57.14%,12,,,,,,
5,Very Likely,28.57%,6,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q35 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
An older man wearing stars and stripes rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man is dancing under the stars.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,57.89%,11,,,,,,
2,Unlikely,26.32%,5,,,,,,
3,Neither likely nor unlikely,5.26%,1,,,,,,
4,Likely,5.26%,1,,,,,,
5,Very Likely,5.26%,1,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q36 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
An older man wearing stars and stripes rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man wearing stars and stripes on a bike is in a parade.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.26%,1,,,,,,
3,Neither likely nor unlikely,31.58%,6,,,,,,
4,Likely,36.84%,7,,,,,,
5,Very Likely,26.32%,5,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q37 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
An older man wearing stars and stripes rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
An old man rides a bike.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,61.90%,13,,,,,,
5,Very Likely,38.10%,8,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q38 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
An older man wearing stars and stripes rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man riding on a bike.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,10.53%,2,,,,,,
4,Likely,26.32%,5,,,,,,
5,Very Likely,63.16%,12,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q83 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Some people are relaxing in front of a large red building. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Lots of people are walking by a small red building.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,10.53%,2,,,,,,
2,Unlikely,52.63%,10,,,,,,
3,Neither likely nor unlikely,15.79%,3,,,,,,
4,Likely,21.05%,4,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q40 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Some people are relaxing in front of a large red building. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A group of children are relaxing in front of a large red building.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,25.00%,5,,,,,,
4,Likely,55.00%,11,,,,,,
5,Very Likely,20.00%,4,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q41 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Some people are relaxing in front of a large red building. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A crowd relaxes in front of a large red building.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,13.64%,3,,,,,,
3,Neither likely nor unlikely,9.09%,2,,,,,,
4,Likely,31.82%,7,,,,,,
5,Very Likely,45.45%,10,,,,,,
,Total,100%,22,,,,,,
,,,,,,,,,
Q42 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Some people are relaxing in front of a large red building. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A people are in a front.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,17.65%,3,,,,,,
2,Unlikely,35.29%,6,,,,,,
3,Neither likely nor unlikely,17.65%,3,,,,,,
4,Likely,17.65%,3,,,,,,
5,Very Likely,11.76%,2,,,,,,
,Total,100%,17,,,,,,
,,,,,,,,,
Q43 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men wearing dingy blue clothing are doing their job on a boat. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Two men are driving a car in a forest.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,76.47%,13,,,,,,
2,Unlikely,17.65%,3,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,5.88%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,17,,,,,,
,,,,,,,,,
Q44 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men wearing dingy blue clothing are doing their job on a boat. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
